,source_name,event_date,location_accuracy,landslide_category,landslide_trigger,landslide_size,fatality_count,country_name,country_code,longitude,latitude,continent
3725,Philippine Star,2011-03-17,1km,landslide,rain,2,5.0,Philippines,PH,124.9736,11.2529,AS
3726,e-pao,2010-10-09,50km,landslide,downpour,2,0.0,India,IN,93.8673,25.5265,AS
3730,Strange Sounds,2016-06-04,1km,mudslide,continuous_rain,3,0.0,Russia,RU,39.4476,43.9701,EU
3732,pinoyherald,2009-08-06,1km,landslide,tropical_cyclone,2,3.0,Philippines,PH,120.5996,16.392,AS
3733,Before It's News,2015-08-21,10km,landslide,earthquake,2,1.0,Nepal,NP,85.0934,28.0297,AS
3735,The Star,2015-09-30,10km,landslide,tropical_cyclone,3,3.0,Taiwan,TW,121.5308,24.7837,AS
3736,South Whidbey Record,2011-03-20,exact,landslide,rain,2,0.0,United States,US,-122.5949,48.0414,NA
3737,keyt,2011-03-21,5km,mudslide,downpour,1,0.0,United States,US,-119.6615,34.4399,NA
3738,www.thehimalayantimes.com,2013-08-19,25km,landslide,tropical_cyclone,2,1.0,Nepal,NP,82.7442,29.0387,AS
3739,www.business-standard.com,2013-06-24,10km,landslide,downpour,2,0.0,India,IN,78.9228,30.2524,AS
3740,earthtimes,2008-02-03,10km,landslide,rain,2,9.0,Brazil,BR,-43.1314,-22.3758,SA
3742,antara,2010-04-29,50km,landslide,downpour,1,0.0,Indonesia,ID,136.8448,-4.4585,AS
3743,www.irrawaddy.org,2013-01-27,5km,landslide,rain,4,14.0,Indonesia,ID,100.1535,-0.3264,AS
3744,bestonlinebroker.co,2013-03-28,1km,landslide,other,2,6.0,Brazil,BR,-51.1818,-0.0568,SA
3745,La Hora,2015-12-25,unknown,landslide,earthquake,2,1.0,Pakistan,PK,74.548,36.0282,AS
3746,www.dvidshub.net,2013-09-12,1km,mudslide,downpour,2,0.0,United States,US,-104.8474,38.7439,NA
3748,Q13,2015-03-15,10km,mudslide,downpour,1,0.0,United States,US,-122.32,47.9144,NA
3750,West Briton,2014-01-26,exact,landslide,downpour,1,0.0,United Kingdom,GB,-4.7891,50.2722,EU
3751,www.kpvi.com,2013-09-08,25km,landslide,downpour,2,0.0,United States,US,-111.7272,42.2322,NA
3752,Prensa,2014-01-10,25km,rock_fall,rain,2,4.0,Peru,PE,-71.7832,-13.4862,SA
3753,news.smh,2010-11-04,50km,landslide,downpour,2,1.0,Philippines,PH,121.8726,17.686,AS
3754,Vietnamnet,2016-10-07,1km,riverbank_collapse,rain,2,0.0,Vietnam,VN,107.5007,16.5281,AS
3756,onlineathens.com,2010-07-16,1km,landslide,downpour,1,0.0,United States,US,-83.6417,34.1538,NA
3757,www.thejakartapost.com,2013-12-31,50km,landslide,downpour,2,2.0,Indonesia,ID,140.7156,-2.5559,AS
3758,Thomson Reuters Foundation,2014-08-28,5km,landslide,downpour,2,7.0,Nicaragua,NI,-84.5919,14.0256,NA
3759,TwoCircles.net,2007-05-01,unknown,landslide,rain,2,30.0,Indonesia,ID,118.8947,-2.6857,AS
3760,wcfcourier,2009-08-20,5km,landslide,rain,1,0.0,United States,US,-91.1811,43.0421,NA
3761,reuters,2011-04-13,5km,landslide,downpour,3,20.0,Colombia,CO,-75.3723,5.0343,SA
3762,sawfnews,2010-09-06,25km,landslide,downpour,2,0.0,India,IN,77.1495,32.0987,AS
3763,www.philstar.com,2013-08-27,5km,landslide,continuous_rain,2,1.0,Philippines,PH,125.5901,9.2087,AS
3764,www.thisiscornwall.co.uk,2013-03-22,1km,landslide,rain,2,1.0,United Kingdom,GB,-4.4558,50.3625,EU
3765,3 News,2014-05-20,5km,landslide,downpour,1,0.0,New Zealand,NZ,167.6337,-46.7748,OC
3766,www.mindanaoexaminer.com,2013-10-08,25km,landslide,mining,2,0.0,Philippines,PH,122.1511,7.6804,AS
3769,thejakartapost,2010-03-30,10km,mudslide,downpour,2,0.0,Indonesia,ID,100.3387,-0.4834,AS
3770,The Hindu,2015-11-14,1km,landslide,rain,2,0.0,India,IN,80.2119,12.9746,AS
3771,ibnlive.in,2011-06-30,50km,landslide,downpour,2,0.0,India,IN,78.7753,30.15,AS
3774,State Times,2015-04-03,5km,landslide,continuous_rain,2,4.0,India,IN,75.5469,33.1445,AS
3775,ASSAM Talks,2015-07-25,5km,landslide,continuous_rain,2,2.0,India,IN,91.8717,26.1062,AS
3776,blog.seattlepi,2011-03-10,1km,landslide,downpour,1,0.0,United States,US,-122.2487,47.4825,NA
3777,seattlepi,2011-03-10,1km,mudslide,downpour,2,0.0,United States,US,-122.2667,47.2537,NA
3779,Mexicano,2014-10-12,1km,other,rain,1,0.0,El Salvador,SV,-89.2361,13.6891,NA
3781,3 News,2014-05-01,1km,landslide,rain,1,0.0,New Zealand,NZ,170.50900000000001,-45.8618,OC
3782,Prince George Citizen,2014-12-10,25km,landslide,downpour,1,0.0,Canada,CA,-124.4677,49.3507,NA
3783,economictimes.indiatimes,2010-09-04,50km,landslide,downpour,2,0.0,India,IN,78.623,30.796,AS
3784,Floodlist,2015-09-28,1km,landslide,rain,2,0.0,Honduras,HN,-87.2507,14.1105,NA
3787,CNN,2015-08-07,10km,landslide,tropical_cyclone,1,0.0,Philippines,PH,123.3647,7.8675,AS
3788,Vanguardia,2014-10-21,50km,rock_fall,rain,1,0.0,Colombia,CO,-73.4081,6.8907,SA
3789,www.vancouversun.com,2013-03-21,1km,landslide,construction,1,0.0,Canada,CA,-123.1897,49.3478,NA
3791,npr,2010-10-17,5km,mudslide,downpour,2,2.0,Haiti,HT,-72.4111,18.5202,NA
3792,mercurynews,2012-03-14,1km,mudslide,downpour,1,0.0,United States,US,-121.9776,37.0943,NA
3794,Go Lake Chelan,2016-07-19,exact,mudslide,downpour,2,0.0,United States,US,-119.9177,47.8885,NA
3796,maps.google.com,2010-04-06,1km,landslide,downpour,2,0.0,Brazil,BR,-42.4916,-22.936999999999998,SA
3797,kitsapsun,2010-12-12,1km,landslide,downpour,2,0.0,United States,US,-122.6051,47.5812,NA
3798,afp.google,2008-06-07,10km,landslide,rain,2,2.0,Hong Kong,HK,114.0519,22.3682,AS
3799,FOX 5,2016-06-10,5km,landslide,earthquake,1,0.0,United States,US,-116.4331,33.2108,NA
3800,www.sunstar.com.ph,2013-07-20,1km,landslide,downpour,2,0.0,Philippines,PH,123.8896,10.3286,AS
3802,Jamaica Star,2016-04-21,5km,mudslide,rain,1,0.0,Jamaica,JM,-76.3994,18.0502,NA
3803,signonsandiego,2011-03-26,5km,landslide,downpour,2,0.0,United States,US,-117.0005,33.1817,NA
3804,westseattleblog.com,2009-11-22,1km,mudslide,rain,2,0.0,United States,US,-122.3881,47.5944,NA
3805,b-townblog,2010-12-10,5km,landslide,downpour,1,0.0,United States,US,-122.4446,48.6223,NA
3807,kptv,2015-02-06,50km,mudslide,downpour,1,0.0,United States,US,-122.5846,42.1397,NA
3808,yoursewickley,2011-04-06,1km,landslide,rain,1,0.0,United States,US,-80.1376,40.5196,NA
3810,shanghaidaily,2010-06-15,10km,landslide,downpour,2,5.0,China,CN,111.2884,23.4231,AS
3811,wyff4,2010-06-07,1km,mudslide,downpour,1,0.0,United States,US,-82.7308,35.1812,NA
3812,Hindu,2015-08-22,25km,mudslide,tropical_cyclone,2,13.0,Philippines,PH,120.7834,16.8668,AS
3813,Coal Mountain,2011-04-02,25km,mudslide,downpour,2,4.0,Philippines,PH,125.0439,6.4824,AS
3817,bernama,2011-07-16,unknown,mudslide,rain,2,0.0,China,CN,98.4579,27.7783,AS
3818,rustavi2,2010-04-25,25km,mudslide,rain,2,1.0,Georgia,GE,44.7519,41.8907,AS
3820,fresnobee,2010-02-27,10km,mudslide,downpour,1,0.0,United States,US,-118.8093,36.126999999999995,NA
3821,trinidadexpress,2009-08-21,5km,landslide,downpour,1,0.0,Trinidad and Tobago,TT,-61.3917,10.3717,NA
3823,mb,2010-09-03,10km,landslide,tropical_cyclone,2,0.0,Philippines,PH,120.6294,16.9729,AS
3824,mcot,2010-12-06,50km,landslide,continuous_rain,2,0.0,Thailand,TH,98.9984,9.5009,AS
3825,Tribune India,2016-07-31,5km,landslide,rain,2,0.0,India,IN,77.1043,31.6865,AS
3826,abs-cbnnews,2009-10-08,5km,landslide,tropical_cyclone,2,0.0,Philippines,PH,121.0796,18.4293,AS
3827,ranabhola.blogspot,2010-08-24,5km,landslide,downpour,2,1.0,Nepal,NP,87.73,27.07,AS
3831,Indian Express,2010-07-25,5km,landslide,downpour,2,0.0,India,IN,77.1727,31.1054,AS
3832,KIRO 7,2015-12-09,exact,landslide,flooding,1,0.0,United States,US,-122.3635,47.4895,NA
3836,eKantipur,2015-07-05,5km,landslide,continuous_rain,2,0.0,Nepal,NP,84.2461,28.2631,AS
3837,BBC,2016-06-07,5km,landslide,downpour,2,0.0,United Kingdom,GB,-1.7615,53.8452,EU
3838,www.bbc.co.uk,2013-03-18,5km,landslide,rain,2,31.0,Brazil,BR,-43.2192,-22.5221,SA
3839,www.sunad.com,2013-09-02,50km,mudslide,downpour,2,0.0,United States,US,-111.6396,39.2535,NA
3840,news.in,2011-05-31,25km,landslide,rain,2,0.0,India,IN,78.3276,30.9206,AS
3841,santacruzsentinel,2010-12-19,1km,mudslide,downpour,1,0.0,United States,US,-121.9339,37.1143,NA
3842,utsandiego,2011-10-10,unknown,landslide,downpour,4,32.0,El Salvador,SV,-89.16,13.7874,NA
3843,vtdigger.org,2011-05-30,1km,mudslide,downpour,1,0.0,United States,US,-72.4914,44.19,NA
3844,e-pao,2010-10-09,10km,landslide,downpour,2,0.0,India,IN,94.1399,25.4788,AS
3845,guardian,2011-09-03,25km,landslide,rain,2,1.0,Japan,JP,135.8019,34.6987,AS
3846,colombiareports.com,2011-04-22,5km,landslide,downpour,2,2.0,Colombia,CO,-75.4408,6.3704,SA
3852,Daily Mail,2015-04-28,1km,mudslide,snowfall_snowmelt,3,250.0,Nepal,NP,85.4611,28.2001,AS
3853,maps.google.com,2010-04-06,exact,landslide,downpour,1,0.0,Brazil,BR,-43.1789,-22.82,SA
3854,La Nacion,2015-11-11,10km,landslide,rain,1,0.0,Costa Rica,CR,-84.3841,9.8747,NA
3855,donegaldemocrat,2010-09-22,5km,mudslide,downpour,2,0.0,Ireland,IE,-8.121,54.8705,EU
3857,MyInforms.com,2015-11-04,1km,rock_fall,no_apparent_trigger,2,0.0,United States,US,-82.4382,37.4067,NA
3858,space,2009-03-04,10km,landslide,downpour,2,7.0,Papua New Guinea,PG,145.208,-6.084,OC
3859,thenational.com,2007-11-25,50km,landslide,rain,2,1.0,Papua New Guinea,PG,147.1646,-6.3494,OC
3860,news.xinhuanet,2010-06-28,25km,landslide,downpour,3,42.0,China,CN,105.3409,25.9612,AS
3861,The Earth Chronicles of Life,2016-07-06,100km,mudslide,downpour,3,35.0,China,CN,76.6344,37.0791,AS
3863,Minda News,2015-06-25,25km,landslide,downpour,2,3.0,Philippines,PH,124.9485,6.3314,AS
3864,www.dailymail.co.uk,2013-08-28,unknown,landslide,downpour,2,0.0,China,CN,108.0198,24.1046,AS
3866,wkyt,2011-05-03,1km,mudslide,downpour,2,0.0,United States,US,-84.8775,38.1723,NA
3867,methowvalleynews.com,2013-08-11,50km,debris_flow,downpour,3,0.0,United States,US,-120.7645,48.5473,NA
3868,Pacific News Center,2014-09-17,1km,landslide,downpour,1,0.0,Guam,GU,144.7187,13.4582,OC
3871,CBC,2014-08-20,10km,debris_flow,downpour,3,72.0,Japan,JP,132.44,34.4854,AS
3872,thejakartapost,2010-01-16,25km,landslide,downpour,2,0.0,Indonesia,ID,123.5999,-10.2101,AS
3873,monstersandcritics,2012-01-03,5km,mudslide,downpour,2,1.0,Brazil,BR,-43.498999999999995,-20.3837,SA
3874,Taranaki Daily news,2016-07-29,exact,landslide,rain,2,0.0,New Zealand,NZ,174.3119,-39.0675,OC
3875,WOWKTV,2014-04-12,10km,mudslide,rain,1,0.0,United States,US,-82.5052,38.163000000000004,NA
3876,News.com.au,2015-09-25,1km,landslide,downpour,2,7.0,Sri Lanka,LK,80.5913,7.021,AS
3877,The Denver Channel,2011-07-13,1km,debris_flow,downpour,2,0.0,United States,US,-105.3715,40.0505,NA
3878,News Xinhuet,2007-08-22,25km,landslide,rain,2,2.0,China,CN,105.6122,34.638000000000005,AS
3879,news.smh,2010-10-08,10km,landslide,rain,2,0.0,Australia,AU,152.3913,-29.4985,OC
3881,FMT News,2014-01-22,5km,landslide,downpour,2,0.0,Malaysia,MY,113.9955,4.3388,AS
3882,I Love Chile News,2014-08-06,exact,mudslide,continuous_rain,1,0.0,Chile,CL,-71.5376,-32.9747,SA
3883,Alaska Dispatch News,2014-01-27,10km,snow_avalanche,snowfall_snowmelt,3,0.0,United States,US,-145.91,61.0883,NA
3884,The Local,2014-11-10,5km,landslide,downpour,2,2.0,Italy,IT,9.3134,44.3471,EU
3885,abc,2008-07-24,50km,mudslide,downpour,2,3.0,South Korea,KR,128.0,38.122,AS
3886,etaiwannews,2010-05-02,5km,mudslide,construction,2,1.0,Taiwan,TW,121.3249,24.956,AS
3888,etaiwannews,2009-10-20,5km,landslide,downpour,1,4.0,Haiti,HT,-72.4097,18.5347,NA
3889,WBOY12,2015-07-13,1km,landslide,downpour,1,0.0,United States,US,-80.4459,38.5653,NA
3892,fresnobee,2011-03-26,10km,landslide,downpour,2,2.0,United States,US,-119.4475,37.0293,NA
3893,samoanews.com,2009-12-28,5km,landslide,downpour,2,0.0,American Samoa,AS,-170.7998,-14.3322,OC
3896,WUSA,2014-05-15,1km,mudslide,downpour,1,0.0,United States,US,-77.0008,38.6987,NA
3897,wsws,2012-01-25,25km,landslide,downpour,2,4.0,Fiji,FJ,177.6328,-17.5513,OC
3898,radionz,2011-04-27,unknown,landslide,downpour,2,0.0,New Zealand,NZ,176.2391,-39.372,OC
3899,thelevisalazer,2010-05-03,5km,mudslide,downpour,1,0.0,United States,US,-82.3434,37.3212,NA
3901,The Californian,2016-03-08,exact,mudslide,rain,1,0.0,United States,US,-121.74799999999999,36.5538,NA
3904,balita.ph,2010-12-09,10km,landslide,downpour,2,0.0,Philippines,PH,124.8338,6.4111,AS
3905,www.ravallirepublic.com,2013-08-29,5km,debris_flow,downpour,2,0.0,United States,US,-114.0541,45.3871,NA
3906,www.philstar.com,2013-02-17,10km,landslide,rain,4,5.0,Philippines,PH,125.8331,7.5842,AS
3907,My Republica,2016-07-26,5km,landslide,continuous_rain,3,3.0,Nepal,NP,82.8541,28.2091,AS
3910,indianexpress,2011-08-11,50km,landslide,downpour,2,0.0,India,IN,74.8556,32.7327,AS
3911,PanamÃ¡ AmÃ©rica,2015-09-17,5km,landslide,flooding,2,0.0,Panama,PA,-80.1978,8.5415,NA
3912,Bangkok Post,2015-10-29,100km,landslide,mining,2,5.0,Indonesia,ID,107.7271,-6.9656,AS
3913,beacononline.wordpress,2009-08-19,10km,landslide,downpour,2,2.0,India,IN,88.1365,27.2644,AS
3915,gulfnews.com,2011-07-04,50km,landslide,downpour,3,31.0,Philippines,PH,125.6072,7.0653,AS
3919,rimoftheworld,2009-12-13,1km,complex,downpour,1,0.0,United States,US,-117.0219,34.2425,NA
3920,Samaya,2015-03-15,25km,mudslide,rain,2,1.0,India,IN,74.1011,33.7732,AS
3922,thehimalayantimes,2011-08-22,25km,landslide,downpour,2,0.0,Nepal,NP,83.6972,28.1901,AS
3923,sciencythoughts.blogspot.com,2013-09-12,5km,landslide,rain,2,2.0,Nepal,NP,86.7506,27.3414,AS
3924,bangkokpost,2012-05-26,10km,landslide,rain,3,8.0,Indonesia,ID,106.7932,-6.5873,AS
3927,West Briton,2014-02-04,5km,landslide,other,2,0.0,United Kingdom,GB,-4.4927,50.3763,EU
3928,Frankston Leader,2010-04-25,5km,rock_fall,downpour,2,0.0,Australia,AU,145.134,-38.1951,OC
3929,sunstar,2011-06-24,5km,landslide,tropical_cyclone,2,0.0,Philippines,PH,120.6059,16.3694,AS
3930,BBC,2015-04-27,1km,landslide,downpour,2,7.0,Brazil,BR,-38.4764,-12.9379,SA
3931,nrtoday,2012-01-19,5km,landslide,rain,1,0.0,United States,US,-123.0611,43.3181,NA
3933,People's Daily,2014-09-27,50km,landslide,downpour,2,7.0,China,CN,109.5516,29.9111,AS
3935,thehimalayantimes,2010-09-18,25km,landslide,downpour,2,0.0,Nepal,NP,85.0855,27.5086,AS
3936,News Video,2016-07-08,50km,rock_fall,downpour,2,0.0,China,CN,102.6171,30.0554,AS
3940,The Orange County Register,2015-09-15,1km,mudslide,downpour,1,0.0,United States,US,-117.5834,33.7474,NA
3941,Al Jazeera,2016-05-18,1km,mudslide,monsoon,4,101.0,Sri Lanka,LK,80.4484,7.1623,AS
3942,blog.taragana,2009-07-22,10km,landslide,downpour,2,0.0,India,IN,88.264,27.04,AS
3943,cairns,2008-03-05,5km,landslide,rain,1,0.0,Australia,AU,145.7231,-16.9135,OC
3945,newstimes,2011-03-07,1km,mudslide,downpour,2,0.0,United States,US,-73.402,41.5585,NA
3946,smh,2011-01-10,10km,mudslide,downpour,2,0.0,Australia,AU,152.0525,-27.4601,OC
3947,Democracy for Burma,2014-07-04,5km,landslide,rain,3,70.0,Myanmar [Burma],MM,96.3167,25.6157,AS
3948,newsinfo.inquirer,2011-07-27,5km,landslide,downpour,2,0.0,Philippines,PH,123.7719,7.9015,AS
3950,sunstar,2011-08-16,10km,landslide,mining,2,3.0,Philippines,PH,126.1388,7.5694,AS
3951,Khleej times.com,2007-04-15,25km,landslide,rain,3,13.0,Jordan,JO,35.5915,31.747,AS
3953,geoengineer,2015-11-30,exact,rock_fall,no_apparent_trigger,2,0.0,Lebanon,LB,35.6275,33.7001,AS
3954,The Himalayan Times,2014-06-30,25km,landslide,continuous_rain,1,1.0,Nepal,NP,83.9422,28.2912,AS
3955,Reliefweb,2014-09-23,10km,landslide,rain,2,3.0,Guatemala,GT,-90.4979,14.5932,NA
3957,TIMES OF INDIA,2014-10-20,50km,landslide,rain,2,6.0,India,IN,90.0896,25.5006,AS
3959,Journal Online,2011-03-19,5km,landslide,downpour,2,0.0,Philippines,PH,124.9577,11.2326,AS
3960,thehimalayantimes,2011-07-03,5km,landslide,continuous_rain,2,0.0,Nepal,NP,86.5,27.3167,AS
3962,UPI,2011-10-21,10km,landslide,downpour,2,1.0,Italy,IT,14.43,40.8308,EU
3963,heraldsun,2011-02-03,10km,landslide,tropical_cyclone,2,0.0,Australia,AU,146.0225,-18.2883,OC
3964,www.thehindubusinessline.com,2013-07-24,1km,landslide,downpour,2,0.0,India,IN,79.3286,30.3056,AS
3965,indiatoday.intoday,2010-09-18,50km,landslide,downpour,2,4.0,India,IN,79.5371,29.2484,AS
3967,wlwt,2011-05-03,1km,mudslide,downpour,1,0.0,United States,US,-84.662,39.1333,NA
3969,colombiareports.com,2011-03-20,5km,landslide,downpour,2,0.0,Colombia,CO,-75.5236,5.0255,SA
3970,iol,2008-06-18,10km,complex,rain,2,1.0,South Africa,ZA,30.6667,-30.3167,AF
3971,thehimalayantimes,2010-07-16,10km,landslide,downpour,2,0.0,Nepal,NP,84.96,28.02,AS
3974,timesofindia.indiatimes,2011-06-14,5km,landslide,downpour,2,0.0,India,IN,73.9434,15.5935,AS
3975,Swiss Info,2016-05-14,10km,mudslide,downpour,1,0.0,Switzerland,CH,7.3968,46.9602,EU
3977,laht,2008-11-24,10km,mudslide,downpour,2,10.0,Colombia,CO,-76.2226,3.2468,SA
3978,infosurhoy.com,2013-09-09,5km,landslide,downpour,2,14.0,Mexico,MX,-97.0474,19.0719,NA
3979,Reuters,2015-10-26,unknown,landslide,snowfall_snowmelt,2,1.0,Pakistan,PK,73.8295,34.9354,AS
3980,23ABC,2015-07-18,5km,mudslide,downpour,2,0.0,United States,US,-118.8953,34.818000000000005,NA
3982,LA Times,2016-07-02,5km,mudslide,other,3,0.0,United States,US,-122.1826,41.3912,NA
3986,www.globalpost.com,2013-12-02,unknown,landslide,downpour,3,0.0,Italy,IT,12.6528,41.8368,EU
3987,CBC News,2014-05-01,1km,mudslide,rain,1,0.0,Canada,CA,-122.7408,49.031000000000006,NA
3988,businessday,2012-04-04,5km,complex,downpour,3,6.0,Kenya,KE,36.8512,-1.2631,AF
3989,Times of India,2016-06-05,1km,rock_fall,downpour,2,0.0,India,IN,85.6285,24.6997,AS
3991,Fox News,2016-03-07,10km,mudslide,downpour,1,0.0,United States,US,-122.4375,37.7552,NA
3992,Fronteras,2014-07-07,5km,mudslide,continuous_rain,1,0.0,United States,US,-111.7268,34.9098,NA
3993,www.raymondvillechroniclenews.com,2013-09-16,5km,landslide,tropical_cyclone,2,13.0,Mexico,MX,-97.1009,19.0603,NA
3994,ABC 7,2014-12-12,5km,debris_flow,downpour,1,0.0,United States,US,-117.8864,34.1516,NA
3995,Assam Tribune,2014-09-22,5km,landslide,rain,1,0.0,India,IN,91.8342,26.1324,AS
3996,Seattle Times,2010-04-05,exact,mudslide,construction,1,0.0,United States,US,-122.3667,47.6261,NA
3999,CNN,2014-10-31,1km,debris_flow,downpour,2,0.0,United States,US,-118.9815,34.1972,NA
4000,himachal.us,2010-09-19,25km,landslide,downpour,2,0.0,India,IN,77.4153,31.4161,AS
4002,Rising Nepal,2015-06-29,25km,landslide,continuous_rain,2,0.0,Nepal,NP,81.6693,29.5089,AS
4003,La Crosse Tribune,2016-04-22,1km,mudslide,downpour,3,0.0,United States,US,-91.2105,43.8156,NA
4004,GMA News,2014-12-06,10km,debris_flow,tropical_cyclone,1,0.0,Philippines,PH,125.4568,11.7521,AS
4005,balidiscovery,2012-02-04,5km,landslide,downpour,2,0.0,Indonesia,ID,114.9767,-8.2876,AS
4006,BBC,2016-04-07,5km,landslide,continuous_rain,2,0.0,United Kingdom,GB,-5.0379,50.5466,EU
4007,en.kunming,2011-07-01,unknown,debris_flow,downpour,2,0.0,China,CN,101.5675,21.4758,AS
4008,seattletimes.nwsource,2011-03-13,5km,mudslide,downpour,2,0.0,United States,US,-122.2301,47.9863,NA
4009,netindian.in,2010-12-09,10km,landslide,downpour,2,0.0,India,IN,77.1963,8.3295,AS
4010,google,2010-07-14,10km,landslide,tropical_cyclone,2,1.0,Philippines,PH,120.9326,14.1169,AS
4011,en.rian,2008-04-20,25km,mudslide,tropical_cyclone,2,3.0,China,CN,114.0684,22.5777,AS
4012,Hoy,2015-09-26,1km,landslide,rain,1,0.0,Nicaragua,NI,-85.9925,13.0805,NA
4013,Wye SEP Connect,2016-07-13,exact,landslide,rain,2,0.0,Australia,AU,143.8872,-38.6309,OC
4014,egpnews.com,2011-03-20,25km,rock_fall,downpour,1,0.0,United States,US,-118.8053,34.0497,NA
4015,alertnet,2010-09-20,5km,landslide,downpour,3,8.0,Mexico,MX,-99.6511,18.9642,NA
4016,Himalayan Times,2015-08-07,5km,mudslide,continuous_rain,2,0.0,Nepal,NP,85.514,27.6788,AS
4017,asbarez.com,2011-10-02,1km,landslide,downpour,3,3.0,Armenia,AM,44.891999999999996,41.18899999999999,AS
4018,oregonlive,2011-03-10,1km,landslide,downpour,2,0.0,United States,US,-122.5272,45.3926,NA
4019,hindustantimes,2010-08-05,25km,landslide,downpour,2,5.0,India,IN,79.3351,30.4068,AS
4020,Indian Express,2014-09-04,5km,rock_fall,downpour,1,0.0,India,IN,74.9426,33.0086,AS
4024,google,2010-10-19,5km,landslide,tropical_cyclone,2,1.0,Japan,JP,129.5901,28.4101,AS
4025,Oregon Live,2015-12-07,5km,landslide,flooding,2,0.0,United States,US,-122.875,45.5803,NA
4027,CIUDADREGION,2015-03-18,10km,landslide,downpour,2,0.0,Costa Rica,CR,-83.9401,9.8815,NA
4028,livenews.co.nz,2013-07-21,5km,landslide,earthquake,2,0.0,New Zealand,NZ,174.1455,-41.5561,OC
4029,sananselmofairfax.patch,2011-03-24,exact,landslide,downpour,2,0.0,United States,US,-122.5573,37.9728,NA
4030,Fijivillage,2016-10-09,1km,landslide,rain,2,0.0,Fiji,FJ,178.4267,-18.1347,OC
4034,aajtv,2010-02-05,10km,mudslide,downpour,2,3.0,Mexico,MX,-100.3,19.6167,NA
4036,businessmirror.com,2009-11-24,25km,landslide,tropical_cyclone,2,0.0,Philippines,PH,124.7439,8.7031,AS
4037,Jakarta Post,2014-12-04,25km,landslide,rain,2,0.0,Indonesia,ID,109.7856,-7.3196,AS
4038,Telegraph India,2012-06-07,25km,landslide,rain,3,7.0,India,IN,88.6458,27.1748,AS
4040,manilastandardtoday.com,2013-08-12,10km,landslide,tropical_cyclone,1,1.0,Philippines,PH,120.5634,16.3597,AS
4041,colombiareports.com,2011-05-18,5km,complex,downpour,2,1.0,Colombia,CO,-73.4166,6.8835,SA
4042,News 1st,2014-10-26,25km,landslide,rain,2,0.0,Sri Lanka,LK,80.854,7.2943,AS
4044,kantipuronline,2008-07-18,10km,landslide,monsoon,2,8.0,Nepal,NP,80.87,28.9,AS
4045,www.dailyastorian.com,2013-12-19,5km,landslide,downpour,2,0.0,United States,US,-123.2157,46.1138,NA
4050,Business Standard,2014-07-15,1km,landslide,rain,1,0.0,India,IN,88.4694,27.059,AS
4051,theunion,2011-03-29,1km,mudslide,downpour,2,0.0,United States,US,-121.0591,39.2925,NA
4053,etaiwannews,2010-05-23,5km,mudslide,downpour,2,0.0,Taiwan,TW,120.6161,23.1297,AS
4055,WSDOT,2009-10-10,exact,mudslide,rain,2,0.0,United States,US,-120.92299999999999,46.8155,NA
4058,KOMONews.com,2014-03-08,10km,landslide,downpour,2,0.0,United States,US,-122.2675,47.9569,NA
4059,Online Khabar,2016-07-04,5km,landslide,downpour,2,5.0,Nepal,NP,83.0426,28.2856,AS
4060,Bohol Standard,2011-10-16,10km,landslide,tropical_cyclone,2,0.0,Philippines,PH,124.2986,9.6224,AS
4062,www.ndtv.com,2013-07-03,25km,landslide,downpour,2,0.0,India,IN,74.2664,15.4123,AS
4063,Nagaland Post,2016-07-28,1km,landslide,downpour,2,0.0,India,IN,94.7844,25.8702,AS
4064,Web India 123,2015-08-19,50km,landslide,continuous_rain,2,0.0,India,IN,94.5224,26.0214,AS
4065,NEW ZEALAND SOCIETY FOR EARTHQUAKE ENGINEERING INC.,2016-04-16,1km,rock_fall,earthquake,2,0.0,Japan,JP,131.0044,32.872,AS
4066,businessweek,2010-08-12,10km,landslide,downpour,2,9.0,China,CN,104.1298,31.5423,AS
4069,eKantipur,2014-08-14,10km,landslide,rain,2,1.0,Nepal,NP,84.6073,27.737,AS
4070,www.thedenverchannel.com,2013-07-25,5km,mudslide,downpour,1,0.0,United States,US,-105.2659,40.6937,NA
4073,theweathernetwork,2011-02-14,25km,mudslide,downpour,2,2.0,Ecuador,EC,-78.874,-0.6549,SA
4075,WOWKTV,2015-07-13,exact,landslide,continuous_rain,1,0.0,United States,US,-80.7205,38.499,NA
4077,Press Enterprise,2014-09-07,5km,debris_flow,rain,1,0.0,United States,US,-116.8146,33.7354,NA
4078,daijiworld,2011-06-27,5km,landslide,downpour,3,0.0,India,IN,74.85600000000001,12.9141,AS
4080,www.novinite.com,2013-10-11,5km,landslide,construction,2,2.0,Bulgaria,BG,23.7144,43.1462,EU
4081,ibnlive.in.com,2013-07-28,10km,mudslide,downpour,1,1.0,India,IN,80.20100000000001,29.9964,AS
4082,E-PAO,2015-08-11,10km,landslide,continuous_rain,2,0.0,India,IN,93.4251,24.7459,AS
4084,tennessean,2010-05-02,exact,landslide,downpour,1,0.0,United States,US,-86.8811,36.0242,NA
4085,The Denver Channel,2016-07-20,5km,mudslide,downpour,2,0.0,United States,US,-108.044,38.0072,NA
4086,reliefweb,2010-10-30,10km,landslide,tropical_cyclone,2,0.0,Saint Lucia,LC,-60.968999999999994,13.7705,NA
4087,CONRED,2015-06-06,25km,landslide,rain,2,0.0,Guatemala,GT,-90.4792,14.4236,NA
